query_index,latency_ns
0,15292
1,15827
2,16112
3,16205
4,16692
5,16916
6,17058
7,17182
8,17322
9,17328
10,17468
11,17533
12,17558
13,17599
14,17745
15,17847
16,18029
17,18056
18,18081
19,18204
20,18301
21,18322
22,18372
23,18393
24,18596
25,18625
26,18750
27,19017
28,19066
29,19102
30,19140
31,19253
32,19288
33,19305
34,19521
35,19567
36,19608
37,19620
38,19640
39,19718
40,19765
41,19777
42,19973
43,20021
44,20035
45,20163
46,20324
47,20366
48,20454
49,20519
50,20828
51,20838
52,20841
53,20851
54,20906
55,20911
56,21106
57,21192
58,21206
59,21258
60,21377
61,21414
62,21490
63,21509
64,21592
65,21640
66,21656
67,21688
68,21786
69,21794
70,21832
71,21902
72,21920
73,21942
74,21970
75,21996
76,22027
77,22195
78,22220
79,22322
80,22337
81,22417
82,22425
83,22453
84,22642
85,22669
86,22689
87,22765
88,22765
89,22767
90,22778
91,22785
92,22920
93,22967
94,22969
95,22985
96,23048
97,23069
98,23090
99,23131
100,23216
101,23253
102,23261
103,23270
104,23309
105,23452
106,23514
107,23532
108,23546
109,23654
110,23744
111,23776
112,23794
113,23841
114,23841
115,23875
116,23899
117,23904
118,23908
119,23921
120,23968
121,23996
122,24010
123,24035
124,24059
125,24077
126,24078
127,24108
128,24115
129,24182
130,24209
131,24262
132,24318
133,24324
134,24327
135,24331
136,24367
137,24367
138,24369
139,24379
140,24477
141,24489
142,24528
143,24539
144,24593
145,24655
146,24844
147,24853
148,24856
149,24883
150,24897
151,24899
152,24932
153,24961
154,24968
155,24977
156,24978
157,25022
158,25050
159,25139
160,25227
161,25344
162,25391
163,25421
164,25451
165,25472
166,25474
167,25498
168,25559
169,25631
170,25648
171,25662
172,25672
173,25674
174,25774
175,25856
176,25863
177,25894
178,26073
179,26151
180,26274
181,26276
182,26297
183,26323
184,26334
185,26373
186,26395
187,26422
188,26434
189,26523
190,26523
191,26689
192,26698
193,26757
194,26874
195,26908
196,26972
197,27034
198,27067
199,27070
200,27076
201,27092
202,27127
203,27342
204,27360
205,27535
206,27680
207,27725
208,27746
209,27872
210,27905
211,27917
212,27997
213,28016
214,28032
215,28048
216,28106
217,28119
218,28125
219,28158
220,28176
221,28220
222,28276
223,28306
224,28318
225,28409
226,28533
227,28782
228,29058
229,29146
230,29194
231,29288
232,29311
233,29511
234,29576
235,29629
236,29922
237,29966
238,30047
239,30112
240,30331
241,30533
242,30571
243,30718
244,30868
245,30917
246,31111
247,31126
248,31253
249,31273
250,31290
251,31347
252,31382
253,31514
254,31574
255,31638
256,31647
257,31798
258,31911
259,32041
260,32118
261,32119
262,32138
263,32262
264,32417
265,32479
266,32690
267,32714
268,32784
269,32835
270,32840
271,32899
272,33054
273,33058
274,33265
275,33479
276,33602
277,33606
278,33718
279,33899
280,34042
281,34553
282,34894
283,35081
284,35134
285,35376
286,35390
287,35498
288,35650
289,35893
290,35895
291,35919
292,35984
293,36010
294,36091
295,36380
296,36529
297,36544
298,37741
299,37831
300,37995
301,38256
302,38327
303,38428
304,38503
305,38516
306,38727
307,38732
308,38842
309,38893
310,38970
311,38995
312,39143
313,39170
314,39276
315,39319
316,39390
317,39494
318,39670
319,39696
320,39971
321,40067
322,40178
323,40207
324,40386
325,40391
326,40587
327,40641
328,41048
329,41102
330,41250
331,41266
332,41320
333,41378
334,41492
335,41541
336,41551
337,41628
338,41651
339,41767
340,41861
341,41915
342,41924
343,41970
344,42272
345,42279
346,42370
347,42404
348,42799
349,42931
350,43095
351,43197
352,43908
353,44103
354,44453
355,44477
356,44624
357,44785
358,45149
359,45197
360,45432
361,45466
362,45475
363,45663
364,45774
365,46137
366,46925
367,47091
368,47229
369,47323
370,47411
371,47425
372,47968
373,48139
374,48248
375,48344
376,48424
377,48484
378,48633
379,48639
380,48643
381,48719
382,49810
383,50621
384,51229
385,51580
386,51979
387,51995
388,52157
389,52240
390,52250
391,52285
392,52728
393,52945
394,53253
395,53399
396,53459
397,54146
398,54662
399,55035
400,55291
401,56180
402,56706
403,56765
404,56905
405,57079
406,57574
407,57771
408,58120
409,58319
410,58590
411,58984
412,59318
413,60779
414,61351
415,61604
416,62054
417,62163
418,62578
419,62786
420,62911
421,62918
422,63255
423,63516
424,63687
425,64001
426,64481
427,64672
428,65188
429,65806
430,65983
431,66093
432,66339
433,66452
434,66710
435,67057
436,67128
437,68393
438,69211
439,70018
440,70191
441,70879
442,71195
443,71544
444,71627
445,73024
446,74196
447,75614
448,75794
449,76040
450,76195
451,76476
452,77136
453,77829
454,78423
455,84019
456,87860
457,90417
458,91356
459,91502
460,91936
461,92495
462,95518
463,95680
464,99008
465,101548
466,101737
467,104065
468,106574
469,106800
470,107520
471,112072
472,112883
473,114307
474,118422
475,120803
476,126718
477,127537
478,131838
479,132364
480,132860
481,133354
482,137233
483,141575
484,142210
485,148318
486,156580
487,161415
488,185674
489,189448
490,193377
491,220212
492,227841
493,267521
494,316122
495,317795
496,349586
497,358755
498,501717
499,511346
